Actress Name,Picture URL
Dipali Bhabar,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgwkGY42-3dvdOKfbgXyQFyn97pJWJ8RWELvd2YgmaVc9Mg5KaYvftklKjudicrsYB0PaLcRNg6jbNn_R22yxV7bS2YhLDHdTjc3nWk8zfqD7SWO-A-qH7sysdMocqcPRSSmA5PoYoGV4v1O2lD9penD_o11rU0DSU-6-47XYMC7QxKKTw0x-rQJNz604E/s1600/deepali%20bhabar.jpg
Dimple,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhw7s2hpAWtyoV4BvZVTSDbmRExRAVtwXbyIzcXQcZreKeKPbLaVGB4VChtkeXNA7aoQ_vlP1S10-JOSnYGUrgffrMUQ8niQprYwC0crpXVLjKRMHbzqu8OnoRcgJW_rWvaJkkDh6jLDgp6Gsak9zFC7GpKDZ5wsGmj3-FnmaYkRscMmpXC1O2aPxAUXE0/s1600/Dimple.png
Dipavali Khandagle,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh1Nhak_4Np89BwR8ZcgReI-EJFPeqQuaqIGLD1EJes8Zn9cnfr9Z3SPtTdRrOQSExn8OAVKqb9DZam_oV8LlFwSbi-6Z2ZUiZEjHRNzitc6dQsOEn6Ed-Q1wOGkNFQNU5XXqUAMLsGFE8SkGygx5Sr3Gjh0W0GdnWqRVlD3w60NDZduTJRwG5K-1uzEvE/s1600/Dipavali%20khandagale.jpg
Pooja (as Divya Prakash Saini),https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgxRZa7HnOnnuTX07467tuCsrGWgBaQpWb54aP-OGJdkTMiEu3SKLCJF40F3Kan88wwA2rezZOSibPNP9t2el8zIMVtJrjGtG4FPP8tFv0D9hoRJ0EVSPtt35mO1ZkljCTK9UItzWN5usSnWLCXzZ5JLs8U_1_R7005lkNCfUCtN86UFIIWc8R8Gnw4HpY/s1600/Divya%20Prakash%20Saini.jpg
Gargi Khakhalary,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhACZM3k-RxNKCoCMsfkPpBIARZjTXjOQQyLn3LI8Mmvgc8_xkhz-MjpmY6vsnxZWxZEYrogR45-ALnff3Es8pKvmU4pROMel9ELpxyBcWlWIc55qamivXEjOwvaBj8qnfCGsUCb_h7vbcR0rxx8ePnJUwomMw7nb5sWvo6_XuO233jFg0eG1MRYp0YHHI/s1600/Gargi.jpg
Hema Rajput,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEigkhAImkta_27gFLmmXT3r06MvvcsIrA9qrN8gBJg2LqtLEHljuaCsLuyy5E-X-OZjTs336HqlBxrwwaJgFJGJ2qDppFH5g0nlbogVgdRlsDxPqsiJZU3Jd8n8HgTpD8rcs8Kirpk86w-eclrcON5Rt2rjs-WvuT8kHJ_NmpXEhRLaVwgqTutEGcKKhZg/s1600/Hema%20rajput.jpg
Jasleen aka Subhasmita panigrahi,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhx7ElMIj9cZJcaw7rLMKG3MUSTioxDrb8y1rffqtfgTV5ep41L7EOHiN6-J0irrFpzUPYG8XibUFnT7pp2Qzers_OvbgtiCrulNv9736nfq44A4Zg2XZTm9mR_urYQcyATM4-ZryTaw16dFM3kY1elRN6qOBwLpczgX3jUUNzkLiKjTfyUh6v4pVZKGHY/s1600/Jasleen.jpg
Jennifer,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhe5TI4VbSRy8SXqPZes3aBgf_9xd7H5D9QndQX-EdZJSD0eBynhY2Vthy1Ngfpy5yqJ2n4k3cMgxI0xA347agBDaL4DWRVjIE9blEI4ePPaYCWVIKlvRraFWMMb3-bRtMqqKtgo3QR87WZtVFohWXGtJEQB50GbMNE22YedibwYrB5aLINAvHB3QhiS5U/s1600/Jennifer.jpg
Jyoti,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhHag46IuW-gcoJi4UhQXlRdga-qLSFsEhx89Ixy5kcYPDflc2flxKXqhCy8sv5GWeWJcmA8hKQ2ZVdpAyx2HgFQvsdLESQd9yC6lzPrE6-KhQUovt_KPA5x6hPtI4RrphaAtC-KZxYp0KvgbAXcuqUPY3tG05ScpqARL33F9Lig-WA5pskOVJ0RCIJVoM/s1600/Jyoti.jpg
Kaira Sahgal,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiC3IrF0kY2FnB0VTo_d71Z1araC6Q-Ml4zqkrg5kjGESiU0g_IV14Z9kMzrw-LLWfDRZaYYilaLly7WMYrMyUYd0VOS5Yu36BhjW64jyNp5tzaTzlfP8jEXMtfpm2qV5B2zatYGPjXtUZgPx2g3kZEtvggoqxJhZ7sUQaprPk_vIQp3hN6xizcoXTQxH8/s1600/Kaira%20Sehgal.jpg
Kamalika Chanda,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgnsNyMdu9EDcanfrwZWa9Qhrmqf3DSihS0v1C-UoC6EfBRKj36HGk2pMe_Igwhw_sS28eg8OjcMD1kLjhzUhFTg2wO4vD9__bjIoJdRhUOAy4xdQCJwUl-mEOjcYpt7zavTAz4ZkyU3N-lEolmK_UCwHsF_E0v6FhhU25DB-4K1XT__o-vV37R65L2maA/s1600/Kamlika%20chanda.jpg
Lakshmi Anamika Singh,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhuEQH_v_PD9ZSHiCytnS3_bzjGq4JDOWSv2Tg9aiACiSGewHT-QVmOBcPvc9kpIijEptaAaJhsqoyaIgFsxMdchufDsjppGBbVji5iUhbvdTaOseoKvzADhZ_1glbpcK3U1-q5fXCvAiDe2JTzjuBsN4M6N5i3nUBWHk3isKCmoTxCYVJCQeBjSnFx9Mw/s1600/Lakshmi%20Anamika%20Singh.png
Mahi,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgWdS_OfC4gO6fOZO6kqBoy0_OFEbc3CA4BjPrtCX2A_zpCkNeQMmVwOYzQDocJ4cW9SZvaaSgS7U-HDmvhw-wQ-pLe33XU9fYNFt9oogpwEgm6T-kGwHWl4l7ffd-AtRd95YGsvIp6OAYhzWkSQynXtrIA7ihdbEmY91SOmIv-XJgkr52M_FGRBIVuhsg/s1600/Mahi.png
Mannu Singh,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh2ksL5NQSggfR53kCeKuEhkbU6NtIUMro1zmJSsPpWLDm7ulTZyLO7ba5G-7hHR9NVM6WMPZpEXwLRPNdzyeKXPr4JP0XmaegPQucuXbgVxlkeY9decb7_6AwQUGw63b7fsT7N9452p6nsOKfpiHUWi3Zc8Ky8cDQquy7SWe0Me0zO0sqdR8bc2Ln79lg/s1600/Mannu%20Singh.png
