category,webseriesName,actressName,pictureUrl,bannerImageUrl
moodx,Sapna & Her Soul,Sapna Sharma; Simran Kapoor;Shakespeare;Salman,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhmo-us4V9OnSMIJbbyG1VmmNNhZQ8VHNOoxqSt57dUVfE0akk6SUWXgCQcKRpagl91J4JubfGaZ9qL7gZTNtM8isLZFKksO00PMTqtOPF1N0MZpuNF3EEOWZhnqg5vPBWe3ReKjiF085zTQU1ASSKKcASxiuT8WCzWVeAEik9B_JcIw-y-UX5GofC8fOc/s0/11.jpeg,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhdeLU2RvlE8-hZuWUEcgpYlTKzzb_NFO8bkw9skmCKz8afY578Zcu_18GkZHOKcKOMhIi9LQUlQL2JuKvhsvbgnNu57t5oBkPfxgycCph3pkH8Al1P9jpKSlDyYmV5BU-dq7bgzHVMD7ThXOXHJ0GSYeUk_amIdeR51ZMEEAyoGgVdlf-LqhW69rFjXtg/s0/11.jpg
moodx,Hast Maithoon,Soniya maheshwari; Samiksha Goswami; Sapna Sharma;Irfan,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiBD2XaD9NIycuBxG-7nIyMd8m6ftBVv6hBn65HXgZKTdaxV0ohbzDxxuaNXd5gsqNMgabrJ4HZEIWLnKxIJ3Jcct15_b1ty00uAsjiyuE3dO-SFe5WdA-DupS1LCUKzfn3ECG7raCH5gZ3EzhZtYdo5UfijE9O-EL1kv84TXktN0p8_fOUTkxYbzb3TAM/s0/12.png,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj9nFga-cXrgwdWSm3dWGFVCuNRD1Q3wf9HKT6-ZxKwFHvi0cIERnHvH3OciF-tSG69Dm87AF-GLABW-iig6G3CM1oHgY4n0Dj_b7weHbtvBUp7oxVQ6z1mbvyZwyIbzskPTy0k1d3zh3YOfNsgps3MKQWxZ6KnoEe1ZSXLVeYiZkCeZm3UynviIU-sCJk/s0/12.jpg
moodx,Baby Marwa Ke Manegi,Neha Ahensai (Rozi raz);Bhupendra Jee ; Sameer(Nikk);Irfan,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjeqdA7wbhTDIf4bIqwC-fsfxVKCfF9Q9gIhv2a6JV776cUET9wRHFodsmmeErJzqdD9da0XniwpvztDVWJAslo1trLmOtTmh391-TVzrx1yNFYGcMHhCrt0ASyrY8Pm1SeSUZoqEogt60Q862y_W3CQDLu5o7yDue_iWR2dSYDbl0UfxFJW4nH22PedSM/s0/13.jpeg,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhvHJxrujVHCNBM4HVAIie_EHbvfmBiqt7uqL2CAeABrSrjz9h7wAiRdmrGxt8BuVl68_b6Xzv12gKBzZKVXl551qgosd-eielNi42EGcl4upSWXT1Cu9RxyjWiLwbJUqDdzEITfSZaLVVVvytMizeS2m05yAi0fsZa2jEYHKOSxB8tNl0UxKcykpfpZfQ/s0/13.jpg
moodx,Boss X,Rajsi Verma; Pihu Sharma; Tina Nandi;Preeti puneet kaur;Shakespeare;Irfan,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhRC5HC8dxhNWFzyCxWm5v2NqZ4B6vLe5wqxXE2PoZiHazHJPeKIVjrtcazmW35wznyr4SDkGYCddOafT2ewyWyPIDTbXRHJvt5EWBJ5mdkGQkcqnGDGRtAIP9scI7F4llcwwxxatebFc31xHQa4ManL21lROKa5aInQ3lGCk9U1GbQeMK2ySu74ljoXrc/s0/14.jpeg,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiaZP8R84eKlTxWfcn76eVcSiTFp10O8NZHTeHFLCy2HryUsuGFvRzGhdNFpNxJzYzWvq9rQ_KyhLo_TFqd_y9WRi5qZ-AYRehNDX_KmWeXI-yOVs2qXHJCG4Y3zfR98LozM2pAHdVL8yGoCW52ClZZSob_wJyLdv-KR_IyCWMGjLSkCre2r6ZAG8eCjrY/s0/14.jpg
moodx,Kirayedar season1,Sapna Sharma;Aakash;Raj,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgPpiGRlxXGOrcpLB72mLoBrK22mRuuvHhpMQTsDBND34nUwEXXSbxV8XsTp61DhbB_0sWCCw4Ojmxl3gvUjeOen9NA8-WZHfpvj_36Imx77GlugQN47VZ4l61jrAO2MqIcioal9Vz72YLJrI99wXXNzjBJxbGK2kc326C0Swdt9fLK6IcTAbv_2AD4PN8/s0/15.jpeg,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj0H9tRkfY62SHdc-RUZsoaRgKAVz_BXpfs6Eh4FrBpvUu1U9pHJ8ffYKoyemf1XHn-78uEJ-YzLvC2HRiiKf34Z-EfcKKNhk9ciJK1qmoz1x5dd2u8UEJrl4ZjFpFA-fyAXszpQ2NOrnAlIOFtj8SDMX6oQsLmjrRBZ593llWY-dSgw7bJkflXuKRz_gU/s0/15.jpg
moodx,Mukhiya X,Preeti puneet kaur; Gargi khakhalary;Aryan Desai;Aakash Dwivedi;Raj,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgBCKrGE4eODOYNb6mkJp4T2O3BYOUWV5rx3_hAd9jrc5PYdE0N5breXrAtd_mfD2oHsLabhrMN2O9JxIeIly4b6D2-WG82Rgv6D9dh2n-Yclq07NAQM9deTy8ua1tXtKvU_rDhaS78swInMgqEt-YA74tF6krDQPtnT_FXYNWaSBsSbWYIJ3RoD5EYUak/s0/16.jpeg,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEj2EqEgsKzJMsrwFhAIVz5PdG4Mxyfd3S0J7GOGeiX_zyYIykwUma3MV2OL2laqo4NiAYPXmFshhIPyc_ggJWX512RpWVxH8DkynVIZFRQK0b0z8dfimMlcsWm00-5Uy4yiw6HUJlyYAty11YxGOFmXyAdlTIES0uwhx9zbtgktLdEpB8syMZ6bjD6oHXA/s0/16.jpg
moodx,Purani haveli ,Neha Ahensai; Alka raj;Sanjay Maurya;Ravi Gosai;Raj;Meet,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjBIxxAkEoszr41nFbkTd7kiOcnp1ViIBR7QGOYD5hfNG1j_HMm1jgXxbQaud1Kk48Yg4ORWWptXjeZNfBStanysrY7PlIylANqJGCNt7jMEVvSEZPU4M9R2_owPnDWnGzR1Exkox8Wbff_YysDfbfdGp-ZkLXbKvX-f8SZOJJbPVl4z5i9n1BPCuA6b3w/s0/17.png,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjtpc92oeqWa8ERplK3zjnBPUcj-atRN-zXgOhlLsoczMDKx2B01mtq_t12Vrs4AonnkBK0Q_HnLnd3XAuHaxAbIIZQiEug0drMEgQQn5Y9EHmGn36hMuD-YvT2cWDALtMKL2MPiEKilhulFGoYnRtOLqGSVnteasWD8fXRag9rbJm6fiTRieyHs_8R43Y/s0/17.jpg
moodx,Sasur harami ,Neha Ahensai; Alka raj;manhar Kapadia;Manu;Suraj,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhgnWaDfQfKFcnBCN12JaaeiSqsSeJMNGO1atbjVbgQAfVG8jfsuX6vL2KA28QHy33EUiD4q0Wj5jUDmkAOCHv_6fizchJPHpC58DRChWxp6UXpNp3W5SKBDYfHaJQ-obRk8_1S31v0V6bZKVzPjovFC2TBOnxAikAkzJ8OPNz3GNiG_cPJ9XJvh-_OU38/s0/18.jpeg,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjUyrc4T5wBUTWIJjTrEK5CY-FNOoiY5ylh_T5T219Rc7_KQsuG1PMJsqHssxswn-yLpMJUEzbIufGGPk8QGhYZBobpkZUgtY_DX5cyNm0hwOSzLJMJQNfjTRRD5avEgG3sKiJnz1Aul30NyPPwo3nJWB_8UruqU_B1n-gH6S6mozw1oz9e42ZdoMkM0qg/s0/18.jpg
moodx,OOYO Kand ,Alka raj; Pihu Sharma; Neha Hazell;Shakespeare;Sameer(Nikk);Ankit,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgI7A-NnkjXFDprcYEnGywI-qJLpW9Pjo1v7ZZ1c9UgwGHzZ96228vDtyYdmAnmfW_7clf5aUvcJbovt6JTTLffR5t9g47GbfSYy4wfEyuvZARZC3AIJFWFwZsT1O-XzMA_-Ys6W-sq5flSsz132ou6_VXlZapTG4Aq-N_xDuUUPKakGJVBS0P5pwlXflI/s0/19.jpeg,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi12wA2z-HeTg_IkNmENg-rQJjkXKbmtaAJEFlkzw_ay_M8r7FAdfcsoW_2Z4If4uVpNGwDX9TdOc01QBR-NzzhziTLbPOj6rtCeiCw6mcD9bVLOYmzoAOo4_4-KGUjAfKNcBCkRgdxxgQ3imIXP0p8NcDV5qvWWSuYUaH3B4msGbeFga9p3GQAw-3a-AU/s0/19.jpg
moodx,Leather Currency ,Gargi khakhalary;Aakash;Raj,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiggbJe7Bwek6ciTYJaIneDpUlNhrJXhUjgFQn5AHjncEDbmUyGU7wx33jHEoTyLSbje3CgP509OmLj8RTWuFyq5iPRu45lEvAXvV7MMaRCc05jCX9Ol9OQivB2OT4Fc3QCynXRwvnlkXrxTYVvFB34lD0kHyIdDUu4mGgRWAvrOz40Qe1FN7HScrY-V7M/s0/20.jpeg,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhsTXHK9aEuAkhBXm8Uu4h1FqJHUjFXc4uzgM5S7ro0rTBTe6EUc_4RmdqIAyn7NQiSQ_aWy1MgnbUDw2RMFbGEylxJjR0NmHPR0pIGpFtDyvqIIiu7Ym0gjsJDP4qqybhfK3EB3C-bHQUNQfstznRAutjtZjKNt8kdZ8hyDLFZnfJtp8OXZ3C0ysV6p1U/s0/20.jpg
